put/give-3SG/2PL/OBL.SG/2PL.IMP	put/give-2PL/2PL.IMP
take-3SG/2PL/OBL.SG/2PL.IMP	take-2PL/2PL.IMP
say-3SG/2PL/OBL.SG/2PL.IMP	say-2PL/2PL.IMP
bring-3SG/2PL/OBL.SG/2PL.IMP	bring-2PL/2PL.IMP
bring.back-3SG/2PL/OBL.SG/2PL.IMP	bring.back-2PL/2PL.IMP
eat-3SG/2PL/OBL.SG/2PL.IMP	eat-2PL/2PL.IMP
eat/vomit-3SG/2PL/OBL.SG/2PL.IMP	eat/vomit-2PL/2PL.IMP
drink-3SG/2PL/OBL.SG/2PL.IMP	drink-2PL/2PL.IMP
return-3SG/2PL/OBL.SG/2PL.IMP	return-2PL/2PL.IMP
hear/knead-3SG/2PL/OBL.SG/2PL.IMP	hear/knead-2PL/2PL.IMP
hear-3SG/2PL/OBL.SG/2PL.IMP	hear-2PL/2PL.IMP
sit/live-3SG/2PL/OBL.SG/2PL.IMP	sit/live-2PL/2PL.IMP
sleep-3SG/2PL/OBL.SG/2PL.IMP	sleep-2PL/2PL.IMP
stand-3SG/2PL/OBL.SG/2PL.IMP	stand-2PL/2PL.IMP
stay/wait/stand.up-3SG/2PL/OBL.SG/2PL.IMP	stay/wait/stand.up-2PL/2PL.IMP
stand.up-3SG/2PL/OBL.SG/2PL.IMP	stand.up-2PL/2PL.IMP
run-3SG/2PL/OBL.SG/2PL.IMP	run-2PL/2PL.IMP
run.away-3SG/2PL/OBL.SG/2PL.IMP	run.away-2PL/2PL.IMP
fall-3SG/2PL/OBL.SG/2PL.IMP	fall-2PL/2PL.IMP
die-3SG/2PL/OBL.SG/2PL.IMP	die-2PL/2PL.IMP
exit-3SG/2PL/OBL.SG/2PL.IMP	exit-2PL/2PL.IMP
enter-3SG/2PL/OBL.SG/2PL.IMP	enter-2PL/2PL.IMP
open/hit-3SG/2PL/OBL.SG/2PL.IMP	open/hit-2PL/2PL.IMP
hit-3SG/2PL/OBL.SG/2PL.IMP	hit-2PL/2PL.IMP
grab/hold-3SG/2PL/OBL.SG/2PL.IMP	grab/hold-2PL/2PL.IMP
hold-3SG/2PL/OBL.SG/2PL.IMP	hold-2PL/2PL.IMP
work-3SG/2PL/OBL.SG/2PL.IMP	work-2PL/2PL.IMP
shut-3SG/2PL/OBL.SG/2PL.IMP	shut-2PL/2PL.IMP
forget-3SG/2PL/OBL.SG/2PL.IMP	forget-2PL/2PL.IMP
sell-3SG/2PL/OBL.SG/2PL.IMP	sell-2PL/2PL.IMP
buy/scare-3SG/2PL/OBL.SG/2PL.IMP	buy/scare-2PL/2PL.IMP
wash-3SG/2PL/OBL.SG/2PL.IMP	wash-2PL/2PL.IMP
spread-3SG/2PL/OBL.SG/2PL.IMP	spread-2PL/2PL.IMP
learn-3SG/2PL/OBL.SG/2PL.IMP	learn-2PL/2PL.IMP
play-3SG/2PL/OBL.SG/2PL.IMP	play-2PL/2PL.IMP
jump-3SG/2PL/OBL.SG/2PL.IMP	jump-2PL/2PL.IMP
