-à	-GEN/M/OBL.SG
-ka-št-om-ir-aa	-VTR-PROG-1SG-2SG-REM
-ka-št-om-ir-ee	-VTR-PROG-1SG-2SG-PRES
-ka-št-om-iraan-aa	-VTR-PROG-1SG-2PL-REM
-ka-št-om-iraan-ee	-VTR-PROG-1SG-2PL-PRES
-ka-št-om-is-aa	-VTR-PROG-1SG-3SG-REM
-ka-št-om-is-ee	-VTR-PROG-1SG-3SG-PRES
-ka-št-om-isaan-aa	-VTR-PROG-1SG-3PL-REM
-ka-št-om-isaan-ee	-VTR-PROG-1SG-3PL-PRES
-ka-št-om-r-aa	-VTR-PROG-1SG-2SG-REM
-ka-št-om-r-ee	-VTR-PROG-1SG-2SG-PRES
-ka-št-om-raan-aa	-VTR-PROG-1SG-2PL-REM
-ka-št-om-raan-ee	-VTR-PROG-1SG-2PL-PRES
-ka-št-om-s-aa	-VTR-PROG-1SG-3SG-REM
-ka-št-om-s-ee	-VTR-PROG-1SG-3SG-PRES
-ka-št-om-saan-aa	-VTR-PROG-1SG-3PL-REM
-ka-št-om-saan-ee	-VTR-PROG-1SG-3PL-PRES
-ka-št-or	-VTR-PROG-2SG
-ka-št-or-aa	-VTR-PROG-2SG-REM
-ka-št-or-ee	-VTR-PROG-2SG-PRES
-ka-št-or-im	-VTR-PROG-2SG-1SG
-ka-št-or-im-aa	-VTR-PROG-2SG-1SG-REM
-ka-št-or-im-ee	-VTR-PROG-2SG-1SG-PRES
-ka-št-or-imaa	-VTR-PROG-2SG-1PL
-ka-št-or-imaan	-VTR-PROG-2SG-1PL
-ka-št-or-imaan-aa	-VTR-PROG-2SG-1PL-REM
-ka-št-or-imaan-ee	-VTR-PROG-2SG-1PL-PRES
-ka-št-or-is	-VTR-PROG-2SG-3SG
-ka-št-or-is-aa	-VTR-PROG-2SG-3SG-REM
-ka-št-or-is-ee	-VTR-PROG-2SG-3SG-PRES
-ka-št-or-isaa	-VTR-PROG-2SG-3PL
-ka-št-or-isaan	-VTR-PROG-2SG-3PL
-ka-št-or-isaan-aa	-VTR-PROG-2SG-3PL-REM
-ka-št-or-isaan-ee	-VTR-PROG-2SG-3PL-PRES
-ka-št-or-m-aa	-VTR-PROG-2SG-1SG-REM
-ka-št-or-m-ee	-VTR-PROG-2SG-1SG-PRES
-ka-št-or-maan-aa	-VTR-PROG-2SG-1PL-REM
-ka-št-or-maan-ee	-VTR-PROG-2SG-1PL-PRES
-ka-št-or-s-aa	-VTR-PROG-2SG-3SG-REM
-ka-št-or-s-ee	-VTR-PROG-2SG-3SG-PRES
-ka-št-or-saan-aa	-VTR-PROG-2SG-3PL-REM
-ka-št-or-saan-ee	-VTR-PROG-2SG-3PL-PRES
-ka-št-r-im-aa	-VTR-PROG-3SG-1SG-REM
-ka-št-r-im-ee	-VTR-PROG-3SG-1SG-PRES
-ka-št-r-imaan-aa	-VTR-PROG-3SG-1PL-REM
-ka-št-r-imaan-ee	-VTR-PROG-3SG-1PL-PRES
-ka-št-r-ir-aa	-VTR-PROG-3SG-2SG-REM
-ka-št-r-ir-ee	-VTR-PROG-3SG-2SG-PRES
-ka-št-r-iraan-aa	-VTR-PROG-3SG-2PL-REM
-ka-št-r-iraan-ee	-VTR-PROG-3SG-2PL-PRES
-ka-št-r-is-aa	-VTR-PROG-3SG-3SG-REM
-ka-št-r-is-ee	-VTR-PROG-3SG-3SG-PRES
-ka-št-r-isaan-aa	-VTR-PROG-3SG-3PL-REM
-ka-št-r-isaan-ee	-VTR-PROG-3SG-3PL-PRES
-kaa	-DIR
-in-kaa	-OBL.PL-DIR
-ees-kaa	-OBL.SG-DIR
-kar	-VTR
-kar-os	-VTR-3SG
-kar-osaan-ee	-VTR-3PL-PRES
-kar-aa	-VTR-2SG/CAUS
-kar-aa-d-à	-VTR-CAUS-PFV-3SG
-kar-aa-d-om	-VTR-CAUS-PFV-1SG
-kar-aa-d-om-is	-VTR-CAUS-PFV-1SG-3SG
-kar-aa-m-isaan-aa	-VTR-CAUS-1SG-3PL-REM
-aa-d-om-is	-CAUS-PFV-1SG-3SG
-aa-d-om-is-aa	-CAUS-PFV-1SG-3SG-REM
-aa-d-om-is-ee	-CAUS-PFV-1SG-3SG-PRES
-aa-d-os-s-ee	-CAUS-PFV-3SG-3SG-PRES
-aa-d-os-s-aa	-CAUS-PFV-3SG-3SG-REM
-aa-d-os-saan	-CAUS-PFV-3SG-3PL
-aa-d-os-saa	-CAUS-PFV-3SG-3PL
-aa-d-os-saan-ee	-CAUS-PFV-3SG-3PL-PRES
-aa-d-os-saan-aa	-CAUS-PFV-3SG-3PL-REM
-kar-d-à	-VTR-PFV-3SG
-kar-d-a	-VTR-PFV-REM
-kar-d-aa	-VTR-PFV-REM
-kar-d-ee	-VTR-PFV-PRES
-kar-d-een	-VTR-PFV-1PL
-kar-d-een-aa	-VTR-PFV-1PL-REM
-kar-d-een-ir	-VTR-PFV-1PL-2SG
-kar-d-een-ir-aa	-PFV-1PL-2SG-REM
-kar-d-een-ir-ee	-PFV-1PL-2SG-PRES
-kar-d-een-iraa	-VTR-PFV-1PL-2PL
-kar-d-een-iraan	-VTR-PFV-1PL-2PL
-kar-d-een-iraan-aa	-PFV-1PL-2PL-REM
-kar-d-een-iraan-ee	-PFV-1PL-2PL-PRES
-kar-d-een-is	-VTR-PFV-1PL-3SG
-kar-d-een-is-aa	-PFV-1PL-3SG-REM
-kar-d-een-is-ee	-PFV-1PL-3SG-PRES
-kar-d-een-isaa	-VTR-PFV-1PL-3PL
-kar-d-een-isaan	-VTR-PFV-1PL-3PL
-kar-d-een-isaan-aa	-PFV-1PL-3PL-REM
-kar-d-een-isaan-ee	-PFV-1PL-3PL-PRES
-kar-d-eend	-VTR-PFV-3PL
-kar-d-eend-ee	-VTR-PFV-3PL-PRES
-kar-d-eend-aa	-VTR-PFV-3PL-REM
-kar-d-eend-im	-VTR-PFV-3PL-1SG
-kar-d-eend-im-aa	-PFV-3PL-1SG-REM
-kar-d-eend-im-ee	-PFV-3PL-1SG-PRES
-kar-d-eend-imaa	-VTR-PFV-3PL-1PL
-kar-d-eend-imaan	-VTR-PFV-3PL-1PL
-kar-d-eend-imaan-aa	-PFV-3PL-1PL-REM
-kar-d-eend-imaan-ee	-PFV-3PL-1PL-PRES
-kar-d-eend-ir	-VTR-PFV-3PL-2SG
-kar-d-eend-ir-aa	-PFV-3PL-2SG-REM
-kar-d-eend-ir-ee	-PFV-3PL-2SG-PRES
-kar-d-eend-iraa	-VTR-PFV-3PL-2PL
-kar-d-eend-iraan	-VTR-PFV-3PL-2PL
-kar-d-eend-iraan-aa	-PFV-3PL-2PL-REM
-kar-d-eend-iraan-ee	-PFV-3PL-2PL-PRES
-kar-d-eend-is	-VTR-PFV-3PL-3SG
-kar-d-eend-is-aa	-PFV-3PL-3SG-REM
-kar-d-eend-is-ee	-PFV-3PL-3SG-PRES
-kar-d-eend-isaa	-VTR-PFV-3PL-3PL
-kar-d-eend-isaan	-VTR-PFV-3PL-3PL
-kar-d-eend-isaan-aa	-PFV-3PL-3PL-REM
-kar-d-eend-isaan-ee	-PFV-3PL-3PL-PRES
-kar-d-ees	-VTR-PFV-2PL
-kar-d-ees-ee	-VTR-PFV-2PL-PRES
-kar-d-ees-aa	-VTR-PFV-2PL-REM
-kar-d-ees-im	-VTR-PFV-2PL-1SG
-kar-d-ees-im-aa	-PFV-2PL-1SG-REM
-kar-d-ees-im-ee	-PFV-2PL-1SG-PRES
-kar-d-ees-imaa	-VTR-PFV-2PL-1PL
-kar-d-ees-imaan	-VTR-PFV-2PL-1PL
-kar-d-ees-imaan-aa	-PFV-2PL-1PL-REM
-kar-d-ees-imaan-ee	-PFV-2PL-1PL-PRES
-kar-d-ees-iraa	-VTR-PFV-2PL-2PL
-kar-d-ees-iraan	-VTR-PFV-2PL-1PL
-kar-d-ees-iraan-aa	-PFV-2PL-1PL-REM
-kar-d-ees-iraan-ee	-PFV-2PL-1PL-PRES
-kar-d-ees-is	-VTR-PFV-2PL-3SG
-kar-d-ees-is-aa	-PFV-2PL-3SG-REM
-kar-d-ees-is-ee	-PFV-2PL-3SG-PRES
-kar-d-om	-VTR-PFV-1SG
-kar-d-om-ee	-VTR-PFV-1SG-PRES
-kar-d-om-aa	-VTR-PFV-1SG-REM
-kar-d-om-ir	-VTR-PFV-1SG-2SG
-kar-d-om-ir-aa	-PFV-1SG-2SG-REM
-kar-d-om-ir-ee	-VTR-PFV-1SG-2SG-PRES
-kar-d-om-iraa	-VTR-PFV-1SG-2PL
-kar-d-om-iraan	-VTR-PFV-1SG-2PL
-kar-d-om-iraan-aa	-PFV-1SG-2PL-REM
-kar-d-om-iraan-ee	-VTR-PFV-1SG-2PL-PRES
-kar-d-om-is	-VTR-PFV-1SG-3SG
-kar-d-om-is-aa	-PFV-1SG-3SG-REM
-kar-d-om-is-ee	-VTR-PFV-1SG-3SG-PRES
-kar-d-om-isaa	-VTR-PFV-1SG-3PL
-kar-d-om-isaan	-VTR-PFV-1SG-3PL
-kar-d-om-isaan-aa	-PFV-1SG-3PL-REM
-kar-d-om-isaan-ee	-VTR-PFV-1SG-3PL-PRES
-kar-d-or	-VTR-PFV-2SG
-kar-d-or-aa	-VTR-PFV-2SG-REM
-kar-d-or-im	-VTR-PFV-2SG-1SG
-kar-d-or-im-aa	-PFV-2SG-1SG-REM
-kar-d-or-im-ee	-VTR-PFV-2SG-1SG-PRES
-kar-d-or-imaa	-VTR-PFV-2SG-1PL
-kar-d-or-imaan	-VTR-PFV-2SG-1PL
-kar-d-or-imaan-aa	-PFV-2SG-1PL-REM
-kar-d-or-imaan-ee	-PFV-2SG-1PL-PRES
-kar-d-or-is	-VTR-PFV-2SG-3SG
-kar-d-or-is-aa	-PFV-2SG-3SG-REM
-kar-d-or-is-ee	-VTR-PFV-2SG-3SG-PRES
-kar-d-or-isaa	-VTR-PFV-2SG-3PL
-kar-d-or-isaan	-VTR-PFV-2SG-3PL
-kar-d-or-isaan-aa	-PFV-2SG-3PL-REM
-kar-d-or-isaan-ee	-PFV-2SG-3PL-PRES
-kar-d-os	-VTR-PFV-3SG
-kar-d-os-im	-VTR-PFV-3SG-1SG
-kar-d-os-im-aa	-PFV-3SG-1SG-REM
-kar-d-os-im-ee	-VTR-PFV-3SG-1SG-PRES
-kar-d-os-imaa	-VTR-PFV-3SG-1PL
-kar-d-os-imaan	-VTR-PFV-3SG-1PL
-kar-d-os-imaan-aa	-PFV-3SG-1PL-REM
-kar-d-os-imaan-ee	-VTR-PFV-3SG-1PL-PRES
-kar-d-os-ir	-VTR-PFV-3SG-2SG
-kar-d-os-ir-aa	-PFV-3SG-2SG-REM
-kar-d-os-ir-ee	-VTR-PFV-3SG-2SG-PRES
-kar-d-os-iraa	-VTR-PFV-3SG-2PL
-kar-d-os-iraan	-VTR-PFV-3SG-2PL
-kar-d-os-iraan-aa	-PFV-3SG-2PL-REM
-kar-d-os-iraan-ee	-VTR-PFV-3SG-2PL-PRES
-kar-d-os-is	-VTR-PFV-3SG-3SG
-kar-d-os-is-aa	-PFV-3SG-3SG-REM
-kar-d-os-is-ee	-VTR-PFV-3SG-3SG-PRES
-kar-d-os-isaa	-VTR-PFV-3SG-3PL
-kar-d-os-isaan	-VTR-PFV-3SG-3PL
-kar-d-os-isaan-aa	-PFV-3SG-3PL-REM
-kar-d-os-isaan-ee	-VTR-PFV-3SG-3PL-PRES
-kar-d-os-s	-VTR-PFV-3SG-3SG
-kar-d-os-s-ee	-VTR-PFV-3SG-3SG-PRES
-kar-d-os-san	-VTR-PFV-3SG-3PL
-kar-d-os-san-aa	-VTR-PFV-3SG-3PL-REM
-kar-d-os-san-ee	-VTR-PFV-3SG-3PL-PRES
-kar-d-os-saa	-VTR-PFV-3SG-3PL
-kar-d-os-saan	-VTR-PFV-3SG-3PL
-kar-im	-VTR-1SG
-kar-im-aa	-VTR-1SG-REM
-kar-in	-VTR-1PL
-kar-in-aa	-VTR-1PL-REM
-kar-n-aa	-VTR-1PL-REM
-kar-n-ee	-VTR-1PL-PRES
-kar-n-isaa	-VTR-1PL-3PL
-kar-n-isaan-ee	-VTR-1PL-3PL-PRES
-n-isaan-ee	-1PL-3PL-PRES
-n-saa	-1PL-3PL
-kar-n-is-ee	-VTR-1PL-3SG-PRES
-kar-ind	-VTR-3PL
-kar-ind-aa	-VTR-3PL-REM
-kar-ind-ee	-VTR-3PL-PRES
-kar-ind-im-ee	-VTR-3PL-1SG-PRES
-kar-ind-imaan	-VTR-3PL-1PL
-kar-ind-imaan-ee	-VTR-3PL-1PL-PRES
-kar-ind-imaan-aa	-VTR-3PL-1PL-REM
-kar-ind-isaan	-VTR-3PL-3PL
-kar-ind-is-aa	-VTR-3PL-3SG-REM
-kar-ind-is-ee	-VTR-3PL-3SG-PRES
-kar-ind-s-ee	-VTR-3PL-3SG-PRES
-kar-ir	-VTR-3SG
-kar-ir-aa	-VTR-3SG-REM
-kar-m-ee	-VTR-1SG-PRES
-kar-m-aa	-VTR-1SG-REM
-kar-m-ir	-VTR-1SG-2SG
-kar-m-ir-ee	-VTR-1SG-2SG-PRES
-kar-m-iraan	-VTR-1SG-2PL
-kar-m-is	-VTR-1SG-3SG
-kar-m-is-ee	-VTR-1SG-3SG-PRES
-kar-m-isaan	-VTR-1SG-3PL
-kar-m-isaan-ee	-VTR-1SG-3PL-PRES
-kar-om-ee	-VTR-1SG-PRES
-kar-r-ee	-VTR-3SG-PRES
-kar-r-aa	-VTR-3SG-REM
-kar-s-aa	-VTR-2PL-REM
-kar-is	-VTR-2PL
-kar-s-im	-VTR-3SG-1SG
-kar-s-ir	-VTR-3SG-2SG
-kar-s-is	-VTR-3SG-3SG
-kar-s-imaan	-VTR-3SG-1PL
-kar-s-iraan	-VTR-3SG-2PL
-kar-s-isaan	-VTR-3SG-3PL
-kar-s-imaa	-VTR-3SG-1PL
-kar-s-iraa	-VTR-3SG-2PL
-kar-s-isaa	-VTR-3SG-3PL
-kar-r-im-ee	-VTR-3SG-1SG-PRES
-kar-r-is-ee	-VTR-3SG-3SG-PRES
-kar-r-is-aa	-VTR-3SG-3SG-REM
-kar-r-imaa	-VTR-3SG-1PL
-kar-r-imaan	-VTR-3SG-1PL
-kar-r-imaan-ee	-VTR-3SG-1PL-PRES
-kar-r-imaan-aa	-VTR-3SG-1PL-REM
-kr-om-ee	-VTR-1SG-PRES
-kr-om-aa	-VTR-1SG-REM
-kr-om	-VTR-1SG
-kr-or-ee	-VTR-2SG-PRES
-kr-or-aa	-VTR-2SG-REM
-kr-or	-VTR-2SG
-kr-os-im	-VTR-3SG-1SG
-kr-os-im-ee	-VTR-3SG-1SG-PRES
-kr-os-im-aa	-VTR-3SG-1SG-REM
-kr-os-imaa	-VTR-3SG-1PL
-kr-os-is	-VTR-3SG-3SG
-kr-os-saa	-VTR-3SG-3PL
-kr-os-saan-ee	-VTR-3SG-3PL-PRES
-k-r-eend	-VTR-PFV-3PL
-k-r-eend-ee	-VTR-PFV-3PL-PRES
-k-r-eend-aa	-VTR-PFV-3PL-REM
-k-r-eend-is	-VTR-PFV-3PL-3SG
-k-r-eend-im	-VTR-PFV-3PL-1SG
-k-r-eend-imaa	-VTR-PFV-3PL-1PL
-k-r-een-is	 -VTR-PFV-1PL-3SG
-k-r-een-im	 -VTR-PFV-1PL-1SG
-k-r-een-ir	 -VTR-PFV-1PL-2SG
-k-r-een-isaan	 -VTR-PFV-1PL-3PL
-k-r-een-isaa	 -VTR-PFV-1PL-3PL
-k-r-een-iraan	 -VTR-PFV-1PL-2PL
-k-r-een-iraa	 -VTR-PFV-1PL-2PL
-k-r-een-imaan	 -VTR-PFV-1PL-1PL
-k-r-een-imaa	 -VTR-PFV-1PL-1PL
-k-r-een-ee	-VTR-PFV-1PL-PRES
-k-r-een-aa	-VTR-PFV-1PL-REM
-k-r-os-s	-VTR-PFV-3SG-3SG
-k-r-om-is	-VTR-PFV-1SG-3SG
-k-r-om-is-ee	-VTR-PFV-1SG-3SG-PRES
-k-r-om-is-aa	-VTR-PFV-1SG-3SG-REM
-k-r-os-s-ee	-VTR-PFV-3SG-3SG-PRES
-k-r-os-s-aa	-VTR-PFV-3SG-3SG-REM
-k-r-os-s	-VTR-PFV-3SG-3SG
-k-r-à	-VTR-PFV-3SG
-r-om-isaa	-PFV-1SG-3PL
-r-om-is	-PFV-1SG-3SG
-om-is	-1SG-3SG
-s-imaa	-3SG-1PL
-kee	-BEN
-keer	-BEN
-keer-om	-BEN-1SG
-keer-omaa	-BEN-1PL
-keer-omaan	-BEN-1PL
-keer-or	-BEN-2SG
-keer-oraa	-BEN-2PL
-keer-oraan	-BEN-2PL
-keer-os	-BEN-3SG
-keer-osaa	-BEN-3PL
-keer-osaan	-BEN-3PL
-keera	-BEN
-keerà	-BEN
-keeree	-BEN
-kii	-ABL
-k	-ABL
-l-à	-PFV-3SG
-l-ee	-3SG-PRES
-l-een	-PFV-1PL
-l-m-aa	-PFV-1SG-REM
-m	-LOC/1SG
-m-aa	-1SG-REM
-m-ee	-1SG-PRES
-m-ir	-1SG-2SG
-m-ir-aa	-1SG-2SG-REM
-m-ir-ee	-1SG-2SG-PRES
-m-iraan	-1SG-2PL
-m-iraan-aa	-1SG-2PL-REM
-m-iraan-ee	-1SG-2PL-PRES
-aa-m-iraan-ee	-CAUS-1SG-2PL-PRES
-m-is	-1SG-3SG
-m-is-aa	-1SG-3SG-REM
-m-is-ee	-1SG-3SG-PRES
-m-isaan	-1SG-3PL
-m-isaa	-1SG-3PL
-m-isaan-aa	-1SG-3PL-REM
-m-isaan-ee	-1SG-3PL-PRES
-ma	-LOC
-mà	-LOC
-imaa	-LOC.REM
mà	NEG
-mà-	-NEG-
-mee	-LOC
-imee	-LOC
-ee-mà	-PL-LOC
-mor	-DER/-INDEF
-n	-1PL
-n-	-NEG-
-n-ee	-1PL-PRES
-nà	-NEG
nà-	NEG-
-nà-	-NEG-
-naa	-CAUS
-naa-d-à	-CAUS-PFV-3SG
-naa-d-aa	-CAUS-PFV-REM
-naa-d-ee	-CAUS-PFV-PRES
-naa-d-een	-CAUS-PFV-1PL
-naa-d-een-aa	-CAUS-PFV-1PL-REM
-naa-d-een-ee	-CAUS-PFV-1PL-PRES
-naa-d-eend	-CAUS-PFV-3PL
-naa-d-eend-aa	-CAUS-PFV-3PL-REM
-naa-d-eend-ee	-CAUS-PFV-3PL-PRES
-naa-d-eend-is-ee	-CAUS-PFV-3PL-3SG-PRES
-naa-d-eend-is-aa	-CAUS-PFV-3PL-3SG-REM
-naa-d-eend-im	-CAUS-PFV-3PL-1SG
-naa-d-eend-im-ee	-CAUS-PFV-3PL-1SG-PRES
-naa-d-eend-im-aa	-CAUS-PFV-3PL-1SG-REM
-naa-d-eend-ir-ee	-CAUS-PFV-3PL-2SG-PRES
-naa-d-eend-ir-aa	-CAUS-PFV-3PL-2SG-REM
-naa-d-ees	-CAUS-PFV-2PL
-naa-d-ees-aa	-CAUS-PFV-2PL-REM
-naa-d-ees-ee	-CAUS-PFV-2PL-PRES
-naa-d-om	-CAUS-PFV-1SG
-naa-d-om-aa	-CAUS-PFV-1SG-REM
-naa-d-om-ee	-CAUS-PFV-1SG-PRES
-naa-d-or	-CAUS-PFV-2SG
-naa-d-or-ee	-CAUS-PFV-2SG-PRES
-naa-d-os	-CAUS-PFV-3SG
-naa-d-os-im	-CAUS-PFV-3SG-1SG
-naa-d-os-ir	-CAUS-PFV-3SG-2SG
-naa-d-os-is	-CAUS-PFV-3SG-3SG
-naa-d-os-imaa	-CAUS-PFV-3SG-1PL
-naa-d-os-iraa	-CAUS-PFV-3SG-2PL
-naa-d-os-isaa	-CAUS-PFV-3SG-3PL
-naa-d-os-imaan	-CAUS-PFV-3SG-1PL
-naa-d-os-iraan	-CAUS-PFV-3SG-2PL
-naa-d-os-isaan	-CAUS-PFV-3SG-3PL
-naa-in-aa	-CAUS-1PL-REM
-naa-in-ee	-CAUS-1PL-PRES
-naa-n-aa	-CAUS-1PL-REM
-naa-n-ee	-CAUS-1PL-PRES
-naa-ind-aa	-CAUS-3PL-REM
-naa-ind-ee	-CAUS-3PL-PRES
-naa-is-aa	-CAUS-2PL-REM
-naa-is-ee	-CAUS-2PL-PRES
-naa-m	-CAUS-1SG
-naa-m-aa	-CAUS-1SG-REM
-naa-m-ee	-CAUS-1SG-PRES
-naa-m-is-ee	-CAUS-1SG-3SG-PRES
-naa-m-is-aa	-CAUS-1SG-3SG-REM
-naa-m-isaan-aa	-CAUS-1SG-3PL-REM
-naa-m-isaan-ee	-CAUS-1SG-3PL-PRES
-naa-m-isaan	-CAUS-1SG-3PL
-naa-nd-aa	-CAUS-3PL-REM
-naa-nd-ee	-CAUS-3PL-PRES
-naa-nd-is-ee	-CAUS-3PL-3SG-PRES
-naa-nd-is-aa	-CAUS-3PL-3SG-REM
-naa-nd-is	-CAUS-3PL-3SG
-naa-r	-CAUS-3SG
-naa-r-aa	-CAUS-3SG-REM
-naa-r-ee	-CAUS-3SG-PRES
-naa-r-à	-CAUS-PFV-3SG
-naa-r-is-ee	-CAUS-PFV-3SG-PRES
-naa-r-is-aa	-CAUS-PFV-3SG-REM
-naa-r-is	-CAUS-PFV-3SG
-naa-rd-à	-CAUS-PFV-3SG
-naa-rd-aa	-CAUS-PFV-REM
-naa-rd-ee	-CAUS-PFV-PRES
-naa-rd-een	-CAUS-PFV-1PL
-naa-rd-een-aa	-CAUS-PFV-1PL-REM
-naa-rd-een-ee	-CAUS-PFV-1PL-PRES
-naa-rd-eend	-CAUS-PFV-3PL
-naa-rd-eend-aa	-CAUS-PFV-3PL-REM
-naa-rd-eend-ee	-CAUS-PFV-3PL-PRES
-rd-eend-ee	-PFV-3PL-PRES
-naa-rd-ees	-CAUS-PFV-2PL
-naa-rd-ees-aa	-CAUS-PFV-2PL-REM
-naa-rd-ees-ee	-CAUS-PFV-2PL-PRES
-naa-rd-om	-CAUS-PFV-1SG
-naa-rd-om-aa	-CAUS-PFV-1SG-REM
-naa-rd-om-ee	-CAUS-PFV-1SG-PRES
-naa-rd-or	-CAUS-PFV-2SG
-naa-rd-or-ee	-CAUS-PFV-2SG-PRES
-naa-rd-os	-CAUS-PFV-3SG
-naaav	-CAUS
-naar	-CAUS
-naav-išt-aa	-CAUS-PROG-REM
-naav-išt-ee	-CAUS-PROG-PRES
-naav-išt-ind	-CAUS-PROG-3PL
-naav-išt-ind-aa	-CAUS-PROG-3PL-REM
-naav-išt-ind-ee	-CAUS-PROG-3PL-PRES
-naav-išt-inn	-CAUS-PROG-1PL
-naav-išt-inn-aa	-CAUS-PROG-1PL-REM
-naav-išt-inn-ee	-CAUS-PROG-1PL-PRES
-naav-išt-ir-s-ee	-CAUS-PROG-3SG-3SG-PRES
-naav-išt-iss	-CAUS-PROG-2PL
-naav-išt-iss-aa	-CAUS-PROG-2PL-REM
-naav-išt-iss-ee	-CAUS-PROG-2PL-PRES
-naav-išt-om	-CAUS-PROG-1SG
-naav-išt-om-aa	-CAUS-PROG-1SG-REM
-naav-išt-om-ee	-CAUS-PROG-1SG-PRES
-naav-išt-or	-CAUS-PROG-2SG
-naav-išt-or-aa	-CAUS-PROG-2SG-REM
-naav-išt-or-ee	-CAUS-PROG-2SG-PRES
-nd	-3PL
-nd-aa	-3PL-REM
-o	-VITR
-o-čč-aa	-VITR-SUBJ-2SG
-o-čč-im	-VITR-SUBJ-1SG
-o-čč-im-ir	-VITR-SUBJ-1SG-2SG
-o-čč-in	-VITR-SUBJ-1PL
-o-čč-ind	-VITR-SUBJ-3PL
-o-čč-ir	-VITR-SUBJ-3SG
-o-čč-ir-aa	-VITR-SUBJ-3SG-REM
-o-čč-ir-ee	-VITR-SUBJ-3SG-PRES
-o-čč-er	-VITR-SUBJ-3SG
-o-čč-is	-VITR-SUBJ-2PL
-o-č-aa	-VITR-SUBJ-2SG
-o-č-im	-VITR-SUBJ-1SG
-o-č-im-ir	-VITR-SUBJ-1SG-2SG
-o-č-in	-VITR-SUBJ-1PL
-o-č-ind	-VITR-SUBJ-3PL
-o-č-ir	-VITR-SUBJ-3SG
-o-č-er	-VITR-SUBJ-3SG
-o-č-is	-VITR-SUBJ-2PL
-o-ty-ee	-VITR-SUBJ-PRES
-o-ty-aa	-VITR-SUBJ-2SG
-o-ty-im	-VITR-SUBJ-1SG
-o-ty-im-ir	-VITR-SUBJ-1SG-2SG
-o-ty-in	-VITR-SUBJ-1PL
-o-ty-ind	-VITR-SUBJ-3PL
-o-ty-ir	-VITR-SUBJ-3SG
-o-ty-er	-VITR-SUBJ-3SG
-o-ty-is	-VITR-SUBJ-2PL
-o-ty-im-ee	-VITR-SUBJ-1SG-PRES
-o-ty-im-ir-ee	-VITR-SUBJ-1SG-2SG-PRES
-o-ty-in-ee	-VITR-SUBJ-1PL-PRES
-o-ty-ind-ee	-VITR-SUBJ-3PL-PRES
-o-ty-ir-ee	-VITR-SUBJ-3SG-PRES
-o-ty-er-ee	-VITR-SUBJ-3SG-PRES
-o-ty-is-ee	-VITR-SUBJ-2PL-PRES
-o-ty-im-aa	-VITR-SUBJ-1SG-REM
-o-ty-im-ir-aa	-VITR-SUBJ-1SG-2SG-REM
-o-ty-in-aa	-VITR-SUBJ-1PL-REM
-o-ty-ind-aa	-VITR-SUBJ-3PL-REM
-o-ty-ir-aa	-VITR-SUBJ-3SG-REM
-o-ty-er-aa	-VITR-SUBJ-3SG-REM
-o-ty-is-aa	-VITR-SUBJ-2PL-REM
-ty-ind-ir-aa	-SUBJ-3PL-2SG-REM
-ty-ind-ir-ee	-SUBJ-3PL-2SG-PRES
-o-m	-SG-1SG
-o-m-aa	-VITR-1SG-REM
-o-m-ee	-VITR-1SG-PRES
-o-maa	-SG-1PL
-o-maan	-SG-1PL
-o-maan-ee	-SG-1PL-PRES
-o-maan-aa	-SG-1PL-REM
-o-n-aa	-VITR-1PL-REM
-o-n-ee	-VITR-1PL-PRES
-o-nd-aa	-VITR-3PL-REM
-o-nd-ee	-VITR-3PL-PRES
-nd-ee	-3PL-PRES
-o-r	-SG-2SG/-VITR-3SG
-o-r-aa	-VITR-3SG-REM
-o-r-ee	-VITR-3SG-PRES
-o-rr-ee	-VITR-3SG-PRES
-o-raa	-SG-2PL
-o-raan	-SG-2PL
-o-s	-SG-3SG
-o-s-aa	-VITR-2PL-REM
-s-aa	-2PL-REM
-o-s-ee	-VITR-2PL-PRES
-o-saa	-SG-3PL
-o-saan	-SG-3PL
-o-tii	-VITR-2SG.IMP
-w-osaa	-2SG-3PL
-o-w-aa	-VITR-2SG-REM
-o-w-ee	-VITR-2SG-PRES
-o-w-osaan-ee	-VITR-2SG-3PL-PRES
-w-osaan-ee	-2SG-3PL-PRES
-om	-1SG
-om-aa	-1SG-REM
-om-ir-aa	-1SG-2SG-REM
-om-ir-ee	-1SG-2SG-PRES
-om-iraan-aa	-1SG-2PL-REM
-om-iraan-ee	-1SG-2PL-PRES
-om-is-aa	-1SG-3SG-REM
-om-is-ee	-1SG-3SG-PRES
-om-isaan-aa	-1SG-3PL-REM
-om-isaan-ee	-1SG-3PL-PRES
-omaa	-1PL
-omaan	-1PL
-or	-2SG
-or-im	-2SG-1SG
-or-im-aa	-2SG-1SG-REM
-or-im-ee	-2SG-1SG-PRES
-or-imaa	-2SG-1PL
-or-imaan	-2SG-1PL
-or-imaan-aa	-2SG-1PL-REM
-or-imaan-ee	-2SG-1PL-PRES
-or-is	-2SG-3SG
-or-is-aa	-2SG-3SG-REM
-or-is-ee	-2SG-3SG-PRES
-or-isaa	-2SG-3PL
-or-isaan	-2SG-3PL
-or-isaan-aa	-2SG-3PL-REM
-or-isaan-ee	-2SG-3PL-PRES
-oraa	-2PL
-oraan	-2PL
-os	-3SG
-os-im	-3SG-1SG
