-à	-GEN/M/OBL.SG
-in-kar-d-om-isaan-ee	-NEG-VTR-PFV-1SG-3PL-PRES
-in-kar-d-or-im	-NEG-VTR-PFV-2SG-1SG
-in-kar-d-or-im-aa	-NEG-PFV-2SG-1SG-REM
-in-kar-d-or-im-ee	-NEG-VTR-PFV-2SG-1SG-PRES
-in-kar-d-or-imaa	-NEG-VTR-PFV-2SG-1PL
-in-kar-d-or-imaan	-NEG-VTR-PFV-2SG-1PL
-in-kar-d-or-imaan-aa	-NEG-PFV-2SG-1PL-REM
-in-kar-d-or-imaan-ee	-NEG-PFV-2SG-1PL-PRES
-in-kar-d-or-is	-NEG-VTR-PFV-2SG-3SG
-in-kar-d-or-is-aa	-NEG-PFV-2SG-3SG-REM
-in-kar-d-or-is-ee	-NEG-VTR-PFV-2SG-3SG-PRES
-in-kar-d-or-isaa	-NEG-VTR-PFV-2SG-3PL
-in-kar-d-or-isaan	-NEG-VTR-PFV-2SG-3PL
-in-kar-d-or-isaan-aa	-NEG-PFV-2SG-3PL-REM
-in-kar-d-or-isaan-ee	-NEG-PFV-2SG-3PL-PRES
-in-kar-d-os-im	-NEG-VTR-PFV-3SG-1SG
-in-kar-d-os-im-aa	-NEG-PFV-3SG-1SG-REM
-in-kar-d-os-im-ee	-NEG-VTR-PFV-3SG-1SG-PRES
-in-kar-d-os-imaa	-NEG-VTR-PFV-3SG-1PL
-in-kar-d-os-imaan	-NEG-VTR-PFV-3SG-1PL
-in-kar-d-os-imaan-aa	-NEG-PFV-3SG-1PL-REM
-in-kar-d-os-imaan-ee	-NEG-VTR-PFV-3SG-1PL-PRES
-in-kar-d-os-ir	-NEG-VTR-PFV-3SG-2SG
-in-kar-d-os-ir-aa	-NEG-PFV-3SG-2SG-REM
-in-kar-d-os-ir-ee	-NEG-VTR-PFV-3SG-2SG-PRES
-in-kar-d-os-iraa	-NEG-VTR-PFV-3SG-2PL
-in-kar-d-os-iraan	-NEG-VTR-PFV-3SG-2PL
